2017-03-08 22:28:58,318 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\main\resources
2017-03-08 22:28:58,322 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:28:58,329 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\test\resources
2017-03-08 22:31:26,418 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:31:26,426 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\main\resources
2017-03-08 22:31:26,428 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:31:26,435 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\test\resources
2017-03-08 22:35:09,141 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:35:09,146 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\main\resources
2017-03-08 22:35:09,148 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:35:09,164 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\test\resources
2017-03-08 22:35:30,752 [Worker-78] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:35:30,759 [Worker-78] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\main\resources
2017-03-08 22:35:30,763 [Worker-78] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:35:30,769 [Worker-78] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\test\resources
2017-03-08 22:42:23,599 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:42:23,607 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\main\resources
2017-03-08 22:42:23,610 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:42:23,618 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\test\resources
2017-03-08 22:48:22,424 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:48:22,431 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\main\resources
2017-03-08 22:48:22,432 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-08 22:48:22,439 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\java\Spring-Tutorial-169\spring-tutorial-169\src\test\resources
